Record ID,Name,Email,Phone Number,Company Name,Company Domain Name,LinkedIn Company Page,Industry Category,Description,Revenue Category,Employee Size Category,Is Public,Street Address,City,State,Postal Code,Country,Time Zone,First Contact Date,Year Founded
19499904089,Mark from Hotjar,mark.jack@hello.hotjar.com,,hotjar,hello.hotjar.com,https://www.linkedin.com/company/hotjar,Industrial and Manufacturing,"Hotjar is a company that provides website heatmaps and behavior analytics tools. Their tools allow you to see where users click, ask for their feedback, and understand why they drop off. They offer product experience insights that show how users behave...",Large,Large,False,,Saint Julian's,,STJ3141,Malta,Europe/Malta,2024-03-13,2014
19487060522,HUGO HAMMER via Miro,invites@notifications.miro.com,,RealtimeBoard Inc,notifications.miro.com,https://www.linkedin.com/company/mirohq,Technology,"Miro is a visual collaboration platform designed to unlock creativity and accelerate innovation among teams of all kinds. The platform’s infinite canvas enables teams to lead engaging workshops and meetings, design products, brainstorm ideas, and more....",Large,Enterprise,False,201 Spear Street,San Francisco,CA,94105,United States,America/Los_Angeles,2024-03-12,2011
19052741028,Unknown,unknown1@invalid.com,,MY SITE,cardenasvideo.com,,Other,"Cardenas Video is a leading provider of video production services. We specialize in creating high-quality videos for businesses, events, and personal use. Our team of experienced videographers and editors work closely with clients to bring their vision...",Small,,False,,,,,,,2024-02-11,2011
19023745036,Unknown,cooperke@msi.com,,"Micro-Star International Co., Ltd",msi.com,https://www.linkedin.com/company/msi-micro-star-international-co-ltd.,Technology,"MSI is a Taiwanese multinational information technology corporation that designs, develops, and provides computer hardware, related products, and services. They offer a comprehensive lineup of laptops, desktops, motherboards, graphics cards, monitors, ...",Large,Enterprise,True,69 Lide Street,,,235,"Taiwan, Province of China",Asia/Taipei,2024-02-08,1986
19015104835,Steven Wales,steven@fogsenddistillery.com,,Fog's End Distillery,fogsenddistillery.com,,Consumer Goods and Retail,"Fog's End Distillery is an award-winning specialty spirits distillery located in Gonzales, California. They are known for their exceptional products, including the Monterey Rye, California Moonshine, and Hand Craft Your Flavor. The distillery takes pri...",Small,,False,425 Alta Street,Gonzales,CA,93926,United States,America/Los_Angeles,2024-02-07,2008
19012425796,Unknown,unknown2@invalid.com,8316451200,mpusd_now,student.mpusd.k12.ca.us,https://www.linkedin.com/company/monterey-peninsula-unified-school-district,Education,"Monterey Peninsula Unified School District (MPUSD) serves K-12th grade students and is located in Monterey, CA. We serve 9,000+ students from preschool to 12th grade, as well as adults on the Monterey Central Coast. Our services include educational pro...",Large,Large,False,700 Pacific Street,Monterey,CA,93940,United States,America/Los_Angeles,2024-02-07,1965
18808426801,Unknown,unknown3@invalid.com,,Uplift Central Coast,upliftcentralcoast.org,https://www.linkedin.com/company/reachcentralcoast,Technology,Uplift Central Coast is a six county coalition that aims to attract investment and expand opportunities for Central Coast residents. They are focused on creating a forward-thinking development plan under California's Community Economic Resilience Fund....,Large,Micro,False,,San Luis Obispo,CA,,United States,America/Los_Angeles,2024-01-22,1965
18779217433,Judicael from Hotjar,dpo@mail.hotjar.com,,hotjar,mail.hotjar.com,https://www.linkedin.com/company/hotjar,Industrial and Manufacturing,"Hotjar is a company that provides website heatmaps and behavior analytics tools. Their tools allow you to see where users click, ask for their feedback, and understand why they drop off. They offer product experience insights that show how users behave...",Large,Large,False,,Saint Julian's,,STJ3141,Malta,Europe/Malta,2024-01-19,2014
18652650352,Unknown,unknown4@invalid.com,,The Insight Marketers,theinsightmarketers.com,https://www.linkedin.com/company/the-insight-marketers,Education,"The Insight Marketers is a digital marketing agency that specializes in data-driven insights. They offer comprehensive digital solutions including content creation, social advertising, marketing, data analysis, audience-focused design, and versatile pr...",Large,Micro,False,15970 West State Road 84,Sunrise,FL,33326,United States,America/New_York,2024-01-09,2023
18647724689,Unknown,unknown5@invalid.com,,sorama.us,sorama.us,https://www.linkedin.com/company/sorama,Other,"Easily find noise & vibration problems by visualizing sound. See sound & vibrations in Far Field, Near Field or use the other analysis tools in the Sorama Portal.",Small,Small,False,117 Beukenlaan,Eindhoven,,5616VC,Netherlands,Europe/Amsterdam,2024-01-08,2009
18643412326,Unknown,unknown6@invalid.com,,Volare Aerial Imaging,volareaerial.com,https://www.linkedin.com/company/volare-aerial-imaging-llc,Other,"Volare Aerial Imaging is a FAA licensed and insured drone service provider that specializes in serving the agriculture, construction, and environmental industries. They offer a range of services including aerial imaging, precision agriculture, electric...",Medium,Micro,False,,Ukiah,CA,95482,United States,America/Los_Angeles,2024-01-08,2016
18643187579,Unknown,unknown7@invalid.com,,Mitchell Friedman,mitchellfriedman.com,,Other,"A blog about leadership development, strategic communication, organizational effectiveness, ethics, public relations, and career development. Dr. Mitchell Friedman, APR (Accredited in Public Relations) writes about individual and organizational effecti...",Medium,Micro,False,,,,,Canada,,2024-01-08,2016
18607073401,Unknown,unknown8@invalid.com,,Zing Drone Solutions,zingdrones.com,https://www.linkedin.com/company/zingdrones,Hospitality and Travel,Zing Drone Solutions is a company that provides turnkey drone delivery solutions. They aim to reduce operational risk and complexity for businesses looking to start drone delivery operations. Their services include providing an Enterprise Starter Kit t...,Medium,Micro,False,433 Central Avenue North,St. Petersburg,FL,94043,United States,America/New_York,2024-01-03,2018
18524550160,Alisa Result Story,hi@resultstoryco.com,,resultstoryco.com,resultstoryco.com,,Other,,Small,,False,,,,,,,2023-12-26,2018
18430921777,Jack Westerfield,jack@westerfield.net,,westerfield.net,westerfield.net,,Other,,Small,,False,,,,,,,2023-12-14,2018
18428126977,Gabriel Mendez,mendez.33992@sbhsd.k12.ca.us,8316375831,San Benito High School District,sbhsd.k12.ca.us,,Education,Our mission at SBHS is to educate all students to their highest potential so they will have the greatest range of personal options upon graduation.,Large,Medium,False,1220 Monterey Street,Hollister,CA,95023,United States,America/Los_Angeles,2023-12-14,1987
18413666872,Unknown,unknown9@invalid.com,19173198472,Transact Holdings,transactcampus.com,https://www.linkedin.com/company/transact-campus-inc,Finance and Legal,"Transact Campus is a company that provides mobile-centric campus solutions for smart tuition payment plans, campus payments, one card campus IDs, and college commerce. They partner with institutions to enhance the student and family experience through ...",Large,Large,False,18700 North Hayden Road,Phoenix,AZ,47906,United States,America/Phoenix,2023-12-13,2000
18301892777,Danny Bernstein,danny@hawktower.com,,HawkTower,hawktower.com,https://www.linkedin.com/company/undeveloped-nl,Finance and Legal,"HawkTower is a venture capital firm based in Monterey, California. We specialize in backing pre-seed and seed stage startups that are applying software and artificial intelligence solutions to industries such as agriculture, mobility, and dual use. We ...",Small,Small,False,,Amsterdam,,1016CS,Netherlands,Europe/Amsterdam,2023-12-02,2000
18186711175,Victoria Valencia,victoria.valencia@cityofgilroy.org,,City of Gilroy,cityofgilroy.org,https://www.linkedin.com/company/city-of-gilroy,Finance and Legal,"The City of Gilroy is a government administration organization located in Gilroy, California. It is centrally located at the southern gateway to Silicon Valley and is known as the 'Garlic Capital of the World.' The city offers a range of services to it...",Medium,Large,False,7351 Rosanna Street,Gilroy,CA,95020,United States,America/Los_Angeles,2023-11-22,1870
18003361926,Kaitlin Mc Andrews,katie.mcandrews@ventanabigsur.com,18006286500,Ventana Big Sur,ventanabigsur.com,https://www.linkedin.com/company/ventana-big-sur-an-alila-resort,Other,"Ventana Big Sur, a luxury coastal CA resort near Monterey, offers luxury accommodations and unique experiences along the dramatic California coastline in Big Sur.",Small,Medium,False,48123 California 1,Big Sur,CA,93920,United States,America/Los_Angeles,2023-11-08,1975
